Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
11,10,0.001,0.757034632034632,0.5531601037851038,0.655097367909868
11,11,0.0009090909090909091,0.757034632034632,0.5522762654012654,0.6546554487179487
11,12,0.0008333333333333334,0.7476190476190476,0.5502921384171384,0.648955593018093
11,13,0.0007692307692307692,0.7428571428571429,0.5502921384171384,0.6465746406371407
11,14,0.0007142857142857143,0.7404761904761905,0.5502921384171384,0.6453841644466645
12,10,0.001,0.7387445887445887,0.5016071428571428,0.6201758658008658
12,11,0.0009090909090909091,0.7411255411255411,0.5057738095238096,0.6234496753246753
12,12,0.0008333333333333334,0.733982683982684,0.5027777777777778,0.6183802308802309
12,13,0.0007692307692307692,0.7245670995670996,0.4997222222222222,0.6121446608946609
12,14,0.0007142857142857143,0.7198051948051948,0.5038888888888888,0.6118470418470419
13,10,0.001,0.7245670995670995,0.4253905168905169,0.5749788082288082
13,11,0.0009090909090909091,0.7245670995670996,0.4252979242979243,0.5749325119325119
13,12,0.0008333333333333334,0.7244588744588745,0.4240214692714693,0.5742401718651718
13,13,0.0007692307692307692,0.729004329004329,0.45365109890109884,0.5913277139527139
13,14,0.0007142857142857143,0.7194805194805195,0.44531776556776553,0.5823991425241425
14,10,0.001,0.7022727272727273,0.39283309283309287,0.5475529100529101
14,11,0.0009090909090909091,0.7067099567099567,0.3931108706108706,0.5499104136604136
14,12,0.0008333333333333334,0.7090909090909091,0.4066483285233285,0.5578696188071188
14,13,0.0007692307692307692,0.701948051948052,0.3987358706108706,0.5503419612794613
14,14,0.0007142857142857143,0.7017316017316018,0.4069834196304784,0.5543575106810401
15,10,0.001,0.6851731601731601,0.34594949494949495,0.5155613275613276
15,11,0.0009090909090909091,0.6922077922077923,0.35494949494949496,0.5235786435786436
15,12,0.0008333333333333334,0.6992424242424242,0.366523569023569,0.5328829966329967
15,13,0.0007692307692307692,0.6917748917748917,0.36018518518518516,0.5259800384800384
15,14,0.0007142857142857143,0.6893939393939393,0.36435185185185187,0.5268728956228956
