Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
11,24,0.0004166666666666667,0.9606418219461699,0.94895907869579,0.9548004503209799
11,25,0.0004,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,26,0.0003846153846153846,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,27,0.00037037037037037035,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,28,0.00035714285714285714,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,29,0.0003448275862068965,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,30,0.0003333333333333333,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,31,0.0003225806451612903,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,32,0.0003125,0.9613561076604554,0.9510424120291233,0.9561992598447894
11,33,0.00030303030303030303,0.9613561076604554,0.9510424120291233,0.9561992598447894
12,24,0.0004166666666666667,0.9677950310559007,0.9572366180707131,0.962515824563307
12,25,0.0004,0.9677950310559007,0.9572366180707131,0.962515824563307
12,26,0.0003846153846153846,0.9677950310559007,0.9572366180707131,0.962515824563307
12,27,0.00037037037037037035,0.9677950310559007,0.9572366180707131,0.962515824563307
12,28,0.00035714285714285714,0.9685093167701864,0.9593199514040464,0.9639146340871163
12,29,0.0003448275862068965,0.9685093167701864,0.9593199514040464,0.9639146340871163
12,30,0.0003333333333333333,0.9677950310559007,0.9587054872721404,0.9632502591640206
12,31,0.0003225806451612903,0.9677950310559007,0.9587054872721404,0.9632502591640206
12,32,0.0003125,0.9685093167701864,0.9596446267287219,0.9640769717494542
12,33,0.00030303030303030303,0.9685093167701864,0.9596446267287219,0.9640769717494542
13,24,0.0004166666666666667,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,25,0.0004,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,26,0.0003846153846153846,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,27,0.00037037037037037035,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,28,0.00035714285714285714,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,29,0.0003448275862068965,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,30,0.0003333333333333333,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,31,0.0003225806451612903,0.9677950310559007,0.9577501713108063,0.9627726011833535
13,32,0.0003125,0.9670807453416149,0.9569808525267817,0.9620307989341983
13,33,0.00030303030303030303,0.9670807453416149,0.9569808525267817,0.9620307989341983
14,24,0.0004166666666666667,0.9533954451345755,0.9404277038049023,0.946911574469739
14,25,0.0004,0.9533954451345755,0.9404277038049023,0.946911574469739
14,26,0.0003846153846153846,0.954120082815735,0.9412015133287118,0.9476607980722234
14,27,0.00037037037037037035,0.954120082815735,0.9412015133287118,0.9476607980722234
14,28,0.00035714285714285714,0.954120082815735,0.9412015133287118,0.9476607980722234
