Noise?,Bin_Number,Zero_One_Loss_Avg,P_Macro_Avg,Average
False,5,0.9057142857142857,0.705,0.8053571428571429
False,6,0.9800000000000001,0.89,0.935
False,7,0.9466666666666667,0.8767857142857143,0.9117261904761904
True,5,0.8652380952380954,0.705,0.7851190476190477
True,6,0.9333333333333333,0.7461111111111111,0.8397222222222223
True,7,0.9333333333333332,0.8631493506493506,0.898241341991342
