,Data,Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
0,Iris,11,24,0.0004166666666666667,0.9266666666666667,0.7805555555555556,0.8536111111111111
1,Iris,11,25,0.0004,0.9266666666666667,0.7805555555555556,0.8536111111111111
2,Iris,11,26,0.0003846153846153846,0.9266666666666667,0.7805555555555556,0.8536111111111111
3,Iris,11,27,0.00037037037037037035,0.9233333333333335,0.7805555555555556,0.8519444444444445
4,Iris,11,28,0.00035714285714285714,0.9233333333333335,0.7805555555555556,0.8519444444444445
5,Iris,11,29,0.0003448275862068965,0.9233333333333335,0.7805555555555556,0.8519444444444445
6,Iris,11,30,0.0003333333333333333,0.9233333333333335,0.7805555555555556,0.8519444444444445
7,Iris,11,31,0.0003225806451612903,0.9233333333333335,0.7805555555555556,0.8519444444444445
8,Iris,11,32,0.0003125,0.9233333333333335,0.7805555555555556,0.8519444444444445
9,Iris,11,33,0.00030303030303030303,0.9233333333333335,0.7805555555555556,0.8519444444444445
10,Iris,12,24,0.0004166666666666667,0.9264285714285714,0.7333333333333333,0.8298809523809523
11,Iris,12,25,0.0004,0.9264285714285714,0.7333333333333333,0.8298809523809523
12,Iris,12,26,0.0003846153846153846,0.9264285714285714,0.7333333333333333,0.8298809523809523
13,Iris,12,27,0.00037037037037037035,0.9264285714285714,0.7333333333333333,0.8298809523809523
14,Iris,12,28,0.00035714285714285714,0.9230952380952381,0.7183333333333334,0.8207142857142857
15,Iris,12,29,0.0003448275862068965,0.9230952380952381,0.7183333333333334,0.8207142857142857
16,Iris,12,30,0.0003333333333333333,0.9230952380952381,0.7183333333333334,0.8207142857142857
17,Iris,12,31,0.0003225806451612903,0.9230952380952381,0.7183333333333334,0.8207142857142857
18,Iris,12,32,0.0003125,0.9230952380952381,0.7183333333333334,0.8207142857142857
19,Iris,12,33,0.00030303030303030303,0.9230952380952381,0.7183333333333334,0.8207142857142857
20,Iris,13,24,0.0004166666666666667,0.9097619047619048,0.6666666666666667,0.7882142857142858
21,Iris,13,25,0.0004,0.9097619047619048,0.6666666666666667,0.7882142857142858
22,Iris,13,26,0.0003846153846153846,0.9097619047619048,0.6666666666666667,0.7882142857142858
23,Iris,13,27,0.00037037037037037035,0.9097619047619048,0.6666666666666667,0.7882142857142858
24,Iris,13,28,0.00035714285714285714,0.9097619047619048,0.6666666666666667,0.7882142857142858
25,Iris,13,29,0.0003448275862068965,0.9097619047619048,0.6666666666666667,0.7882142857142858
26,Iris,13,30,0.0003333333333333333,0.9097619047619048,0.6666666666666667,0.7882142857142858
27,Iris,13,31,0.0003225806451612903,0.9097619047619048,0.6666666666666667,0.7882142857142858
28,Iris,13,32,0.0003125,0.9097619047619048,0.6666666666666667,0.7882142857142858
29,Iris,13,33,0.00030303030303030303,0.9030952380952382,0.6666666666666667,0.7848809523809525
30,Iris,14,24,0.0004166666666666667,0.9199999999999999,0.7027777777777777,0.8113888888888888
31,Iris,14,25,0.0004,0.9199999999999999,0.7027777777777777,0.8113888888888888
32,Iris,14,26,0.0003846153846153846,0.9199999999999999,0.7027777777777777,0.8113888888888888
33,Iris,14,27,0.00037037037037037035,0.9199999999999999,0.7027777777777777,0.8113888888888888
34,Iris,14,28,0.00035714285714285714,0.9199999999999999,0.7027777777777777,0.8113888888888888
35,Iris,14,29,0.0003448275862068965,0.9199999999999999,0.7027777777777777,0.8113888888888888
36,Iris,14,30,0.0003333333333333333,0.9199999999999999,0.7027777777777777,0.8113888888888888
37,Iris,14,31,0.0003225806451612903,0.9199999999999999,0.7027777777777777,0.8113888888888888
38,Iris,14,32,0.0003125,0.9199999999999999,0.7027777777777777,0.8113888888888888
39,Iris,14,33,0.00030303030303030303,0.9199999999999999,0.7027777777777777,0.8113888888888888
40,Iris,15,24,0.0004166666666666667,0.9228571428571429,0.7083333333333333,0.815595238095238
41,Iris,15,25,0.0004,0.9228571428571429,0.7083333333333333,0.815595238095238
42,Iris,15,26,0.0003846153846153846,0.9228571428571429,0.7083333333333333,0.815595238095238
43,Iris,15,27,0.00037037037037037035,0.9195238095238096,0.7083333333333333,0.8139285714285714
44,Iris,15,28,0.00035714285714285714,0.9195238095238096,0.7083333333333333,0.8139285714285714
45,Iris,15,29,0.0003448275862068965,0.9195238095238096,0.7083333333333333,0.8139285714285714
46,Iris,15,30,0.0003333333333333333,0.9195238095238096,0.7083333333333333,0.8139285714285714
47,Iris,15,31,0.0003225806451612903,0.9161904761904761,0.7083333333333333,0.8122619047619046
48,Iris,15,32,0.0003125,0.9161904761904761,0.7083333333333333,0.8122619047619046
49,Iris,15,33,0.00030303030303030303,0.9161904761904761,0.7083333333333333,0.8122619047619046
50,Iris,16,24,0.0004166666666666667,0.9199999999999999,0.7416666666666666,0.8308333333333333
51,Iris,16,25,0.0004,0.9199999999999999,0.7416666666666666,0.8308333333333333
52,Iris,16,26,0.0003846153846153846,0.9199999999999999,0.7416666666666666,0.8308333333333333
53,Iris,16,27,0.00037037037037037035,0.9199999999999999,0.7416666666666666,0.8308333333333333
54,Iris,16,28,0.00035714285714285714,0.9199999999999999,0.7416666666666666,0.8308333333333333
55,Iris,16,29,0.0003448275862068965,0.9199999999999999,0.7416666666666666,0.8308333333333333
56,Iris,16,30,0.0003333333333333333,0.9199999999999999,0.7416666666666666,0.8308333333333333
57,Iris,16,31,0.0003225806451612903,0.9199999999999999,0.7416666666666666,0.8308333333333333
58,Iris,16,32,0.0003125,0.9199999999999999,0.7416666666666666,0.8308333333333333
