Bin_Number,M_Value,Prob_Value,Zero_One_Loss_Avg,P_Macro_Avg,Average
11,10,0.001,0.9033333333333333,0.773611111111111,0.8384722222222222
11,11,0.0009090909090909091,0.9033333333333333,0.773611111111111,0.8384722222222222
11,12,0.0008333333333333334,0.9033333333333333,0.773611111111111,0.8384722222222222
11,13,0.0007692307692307692,0.9033333333333333,0.773611111111111,0.8384722222222222
11,14,0.0007142857142857143,0.9,0.773611111111111,0.8368055555555556
12,10,0.001,0.9064285714285715,0.7280555555555556,0.8172420634920635
12,11,0.0009090909090909091,0.9030952380952382,0.7280555555555556,0.8155753968253969
12,12,0.0008333333333333334,0.9030952380952382,0.7280555555555556,0.8155753968253969
12,13,0.0007692307692307692,0.9030952380952382,0.7280555555555556,0.8155753968253969
12,14,0.0007142857142857143,0.9030952380952382,0.7280555555555556,0.8155753968253969
13,10,0.001,0.9064285714285715,0.7025,0.8044642857142857
13,11,0.0009090909090909091,0.9064285714285715,0.7025,0.8044642857142857
13,12,0.0008333333333333334,0.9064285714285715,0.7025,0.8044642857142857
13,13,0.0007692307692307692,0.9030952380952382,0.7025,0.8027976190476191
13,14,0.0007142857142857143,0.9030952380952382,0.7025,0.8027976190476191
14,10,0.001,0.9199999999999999,0.7780555555555555,0.8490277777777777
14,11,0.0009090909090909091,0.9199999999999999,0.7780555555555555,0.8490277777777777
14,12,0.0008333333333333334,0.9199999999999999,0.7780555555555555,0.8490277777777777
14,13,0.0007692307692307692,0.9199999999999999,0.7780555555555555,0.8490277777777777
14,14,0.0007142857142857143,0.9199999999999999,0.7780555555555555,0.8490277777777777
15,10,0.001,0.8826190476190476,0.7075,0.7950595238095238
15,11,0.0009090909090909091,0.8826190476190476,0.7075,0.7950595238095238
15,12,0.0008333333333333334,0.8826190476190476,0.7075,0.7950595238095238
15,13,0.0007692307692307692,0.8792857142857142,0.7075,0.7933928571428571
15,14,0.0007142857142857143,0.8792857142857142,0.7075,0.7933928571428571
